samples,fin_data,OnST,OnST-H
20,0.282486053352342,0.0520070408538885,0.0526711483131979
21,0.305023542631516,0.047655341300325,0.0472721668277306
22,0.332967241082952,0.0458622122501055,0.0443664697186925
23,0.352364203748094,0.0472743086217199,0.0446425618690304
24,0.447251241017884,0.0519271318375325,0.0483084394034592
25,0.448970649627664,0.0590227135667005,0.0548400318814539
26,0.50743289715547,0.0690594518043959,0.0651696018232005
27,0.506182630292257,0.0740633270182232,0.0742886658657808
28,0.519681656663469,0.0836793767613012,0.0843004304582126
29,0.633790613899282,0.0988191476898551,0.0997215577524957
30,0.594822990245513,0.118706314085559,0.119776761991388
31,0.666707526117073,0.135483845848432,0.136625570298441
32,0.66956802909031,0.130263489028409,0.131170916597522
33,0.820898238303444,0.11527890500205,0.117746899585727
34,0.955484073084572,0.0925720704613412,0.0956254088621537
35,1.11252651922039,0.0855700537156921,0.0906371640651487
36,1.1358251975598,0.0501873182484028,0.0551914004781855
37,1.10683017777886,0.023992626493893,0.0261347308909233
38,0.98058893781187,0.0282206879480841,0.0307826897984368
39,0.89624608450913,0.0281548794969547,0.031282731421432
40,0.895558341733927,0.0242903080419926,0.0276125037546576
41,0.931238906894761,0.0207253664091877,0.0240342918635548
42,1.02986308754827,0.017756148723658,0.0207988159558929
43,0.764614602302484,0.0168051185754828,0.0197592573105652
44,0.796270572458827,0.0148901554843752,0.0169232930807659
45,0.851207661814792,0.0143516410897694,0.015725534529201
46,0.839186853163091,0.0142883094359775,0.0154335351999361
47,0.813469202571486,0.0141537992761751,0.0151506617529509
48,0.800571661367267,0.0140865553030629,0.0148593107759119
49,0.749025704240006,0.0140196796524673,0.0145909797160145
50,0.701362370122441,0.0136675235787112,0.0141315657893543
51,0.696681214607976,0.0131947275826156,0.0135713626572364
52,0.705173513484819,0.0120708552339523,0.0124935859216346
53,0.630898169862999,0.0108040621211222,0.0112932291213732
54,0.663280978844102,0.00952433786326892,0.00996104889880788
55,0.608432090180327,0.00833731606268479,0.00873490420389955
56,0.477140942481864,0.00734012712189444,0.00765899075011338
57,0.305684403673534,0.00642871167979266,0.00661963054259821
58,0.364253671384035,0.00566867840086194,0.00569974338509231
59,0.338060090012275,0.00493143623651245,0.00482000667759124
60,0.27371123398089,0.00433409823368193,0.00407433247983276
61,0.283192439661216,0.00381323118230569,0.00343111257908161
62,0.344465052759924,0.00336163887961009,0.00291992800707784
63,0.337641445032202,0.00299993996445865,0.00255207495455547
64,0.403184881753079,0.00273394183358377,0.00228760679853119
65,0.413643675655122,0.00251229758153342,0.0020889009913888
66,0.392456852633885,0.00230712050343715,0.00187618557018543
67,0.378149027473025,0.00213070315793798,0.00168585365596204
68,0.352910639816333,0.00198302673290022,0.00150983943270111
69,0.341424961727593,0.00186331067822457,0.00134846111469697
70,0.398500260645466,0.00178703344449353,0.00124537144436968
71,0.438784118543932,0.00172415940513011,0.00119008146259576
72,0.402062474460953,0.00167874229744642,0.00115043088116372
