samples,GSR-O H=2,GSR-O H=5,GSR-OH H=2,CSR-OH H=5,Offline H=2,Offline H=5
1,1,1,1,1,1,1
51,0.674279135067066,0.700185636039454,0.611863142101238,0.666091474256254,0.702299269710657,0.61817901281438
101,0.563419120308746,0.620802595396923,0.544799579100551,0.56275011940144,0.627833761438071,0.568657662143413
151,0.51591045442942,0.586396703574024,0.500492458393075,0.511995313267817,0.587419963855338,0.514166685006657
201,0.489107244077924,0.565446940017706,0.472226889656468,0.485755658283784,0.56409300661679,0.480034449126945
251,0.467347861899267,0.547108285057267,0.443626743869886,0.465546133523034,0.545855608594626,0.45443763671101
301,0.451337255507491,0.532114096346464,0.42160721402707,0.45194764458002,0.530123718340842,0.42851581761894
351,0.437878631251773,0.517519916019985,0.398669762324057,0.441310836238614,0.516733584065604,0.412801673543642
401,0.428892619074514,0.506561876280114,0.38741358835642,0.434131999791886,0.506659861072687,0.400660866742659
451,0.419473128593711,0.4967291805587,0.382141352458679,0.425199309571465,0.496332613709125,0.388823938844685
501,0.413023144930458,0.488615176859145,0.372781864383707,0.419164338618751,0.488914511565095,0.386742406361259
551,0.405276529255553,0.48054515261708,0.361163803692638,0.412662981812704,0.481942238816271,0.380107086569056
601,0.399716886474757,0.472364087656621,0.352151564987176,0.404114515424902,0.471773351520548,0.369817041447357
651,0.394316773803425,0.466431101133405,0.346615985109054,0.397022385483814,0.463109178581306,0.358858861633151
701,0.389030064877569,0.461153658191544,0.339578505978072,0.392668839421259,0.455997948874251,0.350508875670581
751,0.382962735214153,0.453794001170462,0.330317015123726,0.386194958518287,0.447343498631165,0.339485360054151
801,0.377857476077205,0.447553386876049,0.325520157959045,0.381474843322959,0.44070506439843,0.333079712469514
851,0.374800081884317,0.442076034043892,0.322640607251616,0.377703006801718,0.434826645151995,0.327774011938364
901,0.370389334451131,0.436648554548449,0.317144333435982,0.373314392285649,0.428630737795602,0.321939159475222
951,0.366354322337142,0.43039220598294,0.312503603096287,0.369306226556075,0.421667378040346,0.316935068525977
1001,0.362256467026801,0.424784241249419,0.308093511981214,0.366138411517472,0.415773414558786,0.311296534854075
1051,0.3579277002551,0.419288291467265,0.302699151123232,0.363530632752224,0.409710035961553,0.307666310470975
1101,0.354338366558076,0.413778904837549,0.297024688750716,0.360096731554379,0.403444694348175,0.304349648712384
1151,0.349836336050883,0.407858913860327,0.292454709879024,0.357598225772594,0.398083162375645,0.302848457311381
1201,0.346040884900498,0.4022663463652,0.290069917245386,0.355100530757755,0.393110087376642,0.303276087520881
1251,0.343126826054166,0.397075192767722,0.286985649215932,0.352605045361461,0.388614492360734,0.30186231276642
1301,0.339277641403468,0.392319354334491,0.283205229562205,0.349464257957447,0.383635598578754,0.297844876547719
